Company,Title,Role,Experience,Real Salary,Expected Salary,Education,Company Rating,Reviews of Company,Location,Skills,Link,Review Page of Company
Adviserlogic Software,Senior Data Scientist,"['RoleData Scientist', 'Industry TypeIT Services & Consulting', 'Functional AreaData Science & Analytics', 'Employment TypeFull Time', ' PermanentRole CategoryData Science & Machine Learning']",3-5 Yrs ,Not disclosed,,UG :B.Tech/B.E. in Any SpecializationPG :Any Postgraduate,,(5 Reviews),Mumbai,MS SQLXMLArtificial IntelligenceMachine learningAgileData collectiontest driven developmentDownstream,https://www.naukri.com/job-listings-senior-data-scientist-adviserlogic-mumbai-3-to-5-years-190822500588,https://www.ambitionbox.com/reviews/adviserlogic-software-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri
Adviserlogic Software,Lead Data Scientist Role,"['RoleData Scientist', 'Industry TypeIT Services & Consulting', 'Functional AreaData Science & Analytics', 'Employment TypeFull Time', ' PermanentRole CategoryData Science & Machine Learning']",6-8 Yrs ,Not disclosed,,UG :B.Tech/B.E. in Any SpecializationPG :Any Postgraduate,,(5 Reviews),Mumbai,PrototypeTeam managementXMLArtificial IntelligenceAgileData structuresDownstreamSQL,https://www.naukri.com/job-listings-lead-data-scientist-role-adviserlogic-mumbai-6-to-8-years-190822500587,https://www.ambitionbox.com/reviews/adviserlogic-software-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri
Big Seo Buzz,Chat-bot Developer / Data Scientist,"['RoleData Scientist', 'Industry TypeIT Services & Consulting', 'Functional AreaData Science & Analytics', 'Employment TypeFull Time', ' PermanentRole CategoryData Science & Machine Learning']","5,00,000 - 12,00,000 PA. ","5,00,000 - 12,00,000 PA.",,UG :B.Tech/B.E. in Computers,,,"Mumbai, New Delhi, Bangalore/Bengaluru(WFH during Covid)",Data scientistVirtual AssistantChatbot developerNLPTransformerschatbotCognitive DeveloperArtificial Intelligence,https://www.naukri.com/job-listings-chat-bot-developer-data-scientist-big-seo-buzz-mumbai-new-delhi-bangalore-bengaluru-2-to-7-years-040822007119,
ITC Infotech,Developer Others,"['RoleData Scientist', 'Industry TypeIT Services & Consulting', 'Functional AreaData Science & Analytics', 'Employment TypeFull Time', ' PermanentRole CategoryData Science & Machine Learning']",2-5 Yrs ,Not disclosed,Avg. Salary - ₹7.1 Lakhs,UG :Any GraduatePG :Any Postgraduate,,(1660 Reviews),Bangalore/Bengaluru,data sciencepythonMachine LearningPySparkbig dataSQLrelational databasesIT Skills,https://www.naukri.com/job-listings-developer-others-itc-infotech-india-ltd-bangalore-bengaluru-2-to-5-years-090822500561,https://www.ambitionbox.com/reviews/itc-infotech-india-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri
Orange Business Services,Data Scientist,"['RoleData Scientist', 'Industry TypeIT Services & Consulting', 'Functional AreaData Science & Analytics', 'Employment TypeFull Time', ' PermanentRole CategoryData Science & Machine Learning']",4-9 Yrs ,Not disclosed,,UG :B.Tech/B.E. in Any SpecializationPG :MCA in Any Specialization,,(889 Reviews),Gurgaon/Gurugram,Data managementScrumIT SkillsJavaPythonMachine LearningCloudAWS,https://www.naukri.com/job-listings-data-scientist-orange-business-services-india-solutions-pvt-ltd-gurgaon-gurugram-4-to-9-years-190822903241,https://www.ambitionbox.com/reviews/orange-business-services-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri
Teleperformance (TP),Consultant - Data Scientist,"['RoleData Scientist', 'Industry TypeBPO / Call Centre', 'Functional AreaData Science & Analytics', 'Employment TypeFull Time', ' PermanentRole CategoryData Science & Machine Learning']",8-12 Yrs ,Not disclosed,Avg. Salary - ₹7.2 Lakhs,UG :Any Graduate,,(13719 Reviews),Gurgaon/Gurugram,data sciencedeep learningpythonrneural networkskerasmachine learningazure,https://www.naukri.com/job-listings-consultant-data-scientist-teleperformance-global-services-pvt-ltd-gurgaon-gurugram-8-to-12-years-130722008971,https://www.ambitionbox.com/reviews/teleperformance-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri
Teleperformance (TP),Data Scientist,"['RoleData Scientist', 'Industry TypeBPO / Call Centre', 'Functional AreaData Science & Analytics', 'Employment TypeFull Time', ' PermanentRole CategoryData Science & Machine Learning']",4-8 Yrs ,Not disclosed,Avg. Salary - ₹7.2 Lakhs,UG :Any Graduate,,(13719 Reviews),Gurgaon/Gurugram,data sciencerpythontensorflowneural networkskerasmachine learning,https://www.naukri.com/job-listings-data-scientist-teleperformance-global-services-pvt-ltd-gurgaon-gurugram-4-to-8-years-120722010245,https://www.ambitionbox.com/reviews/teleperformance-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri
Genpact,Data Scientist,,6-10 Yrs ,Not disclosed,,,,(19975 Reviews),"Noida, Ghaziabad, Gurgaon/Gurugram",data scientistpythonArtificial IntelligenceMachine Learning,https://www.naukri.com/job-listings-data-scientist-genpact-india-private-limited-noida-ghaziabad-gurgaon-gurugram-6-to-10-years-100622000980,https://www.ambitionbox.com/reviews/genpact-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri
Accenture,Data Science Senior Analyst,"['RoleData Scientist', 'Industry TypeIT Services & Consulting', 'Functional AreaData Science & Analytics', 'Employment TypeFull Time', ' PermanentRole CategoryData Science & Machine Learning']",2-5 Yrs ,Not disclosed,Avg. Salary - ₹12.2 Lakhs,UG :Any GraduatePG :Post Graduation Not Required,,(30728 Reviews),India,Business processConsultingAgileQlikViewPythonIT SkillsData ScienceMachine Learning,https://www.naukri.com/job-listings-data-science-senior-analyst-accenture-solutions-pvt-ltd-india-2-to-5-years-080822906353,https://www.ambitionbox.com/reviews/accenture-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri
Accenture,ACN - Applied Intelligence - C4DI - Sustainability - 07,"['RoleData Scientist', 'Industry TypeIT Services & Consulting', 'Functional AreaData Science & Analytics', 'Employment TypeFull Time', ' PermanentRole CategoryData Science & Machine Learning']",6-10 Yrs ,Not disclosed,,UG :Any GraduatePG :Post Graduation Not Required,,(30728 Reviews),Gurgaon/Gurugram,AnalyticalAutomotiveMonitoringSQLPythonanalysiscommunicationdata analysis,https://www.naukri.com/job-listings-acn-applied-intelligence-c4di-sustainability-07-accenture-solutions-pvt-ltd-gurgaon-gurugram-6-to-10-years-080822906317,https://www.ambitionbox.com/reviews/accenture-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri
Accenture,ACN - Applied Intelligence - Data & Insights - CSS - 09,"['RoleData Scientist', 'Industry TypeIT Services & Consulting', 'Functional AreaData Science & Analytics', 'Employment TypeFull Time', ' PermanentRole CategoryData Science & Machine Learning']",4-6 Yrs ,Not disclosed,,"UG :B.ScPG :MBA/PGDM, MS/M.Sc(Science)",,(30728 Reviews),Gurgaon/Gurugram,Supply chainData managementRFConsultingForecastingIT SkillsData ScienceMachine Learning,https://www.naukri.com/job-listings-acn-applied-intelligence-data-insights-css-09-accenture-solutions-pvt-ltd-gurgaon-gurugram-4-to-6-years-080822906316,https://www.ambitionbox.com/reviews/accenture-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri
Accenture,ACN - Applied Intelligence - C4DI - Insight Delivery - 09,"['RoleData Scientist', 'Industry TypeIT Services & Consulting', 'Functional AreaData Science & Analytics', 'Employment TypeFull Time', ' PermanentRole CategoryData Science & Machine Learning']",4-6 Yrs ,Not disclosed,,"UG :B.ScPG :MS/M.Sc(Science), MBA/PGDM",,(30728 Reviews),Gurgaon/Gurugram,Business objectsCognosConsultingOracleSyBaseSQLIT SkillsData Science,https://www.naukri.com/job-listings-acn-applied-intelligence-c4di-insight-delivery-09-accenture-solutions-pvt-ltd-gurgaon-gurugram-4-to-6-years-080822906309,https://www.ambitionbox.com/reviews/accenture-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri
Optum,Data Scientist,"['RoleData Scientist', 'Industry TypeIT Services & Consulting', 'Functional AreaData Science & Analytics', 'Employment TypeFull Time', ' PermanentRole CategoryData Science & Machine Learning']",2-7 Yrs ,Not disclosed,Avg. Salary - ₹16.9 Lakhs,UG :Any GraduatePG :Any Postgraduate,,(1959 Reviews),Gurgaon/Gurugram,Pythontime series analysisBigdataHDFSMAPRDBmachine learningSQLsql,https://www.naukri.com/job-listings-data-scientist-optum-global-solutions-india-private-limited-gurgaon-gurugram-2-to-7-years-040822910355,https://www.ambitionbox.com/reviews/optum-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri
Optum,Data Scientist,"['RoleData Scientist', 'Industry TypeMedical Services / Hospital', 'Functional AreaData Science & Analytics', 'Employment TypeFull Time', ' PermanentRole CategoryData Science & Machine Learning']",5-10 Yrs ,Not disclosed,Avg. Salary - ₹16.9 Lakhs,UG :Any GraduatePG :Any Postgraduate,,(1959 Reviews),Noida,Azure Data FactorySASPower BISpark SQLAzure Data SynapseAzure Databricksroot cause analysisData warehousing,https://www.naukri.com/job-listings-data-scientist-optum-global-solutions-india-private-limited-noida-5-to-10-years-040822904315,https://www.ambitionbox.com/reviews/optum-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri
Caterpillar Inc,Lead Data Scientist,"['RoleData Scientist', 'Industry TypeIndustrial Equipment / Machinery', 'Functional AreaData Science & Analytics', 'Employment TypeFull Time', ' PermanentRole CategoryData Science & Machine Learning']",6-10 Yrs ,Not disclosed,,UG :B.Tech/B.E. in Production/IndustrialPG :M.Tech in Electronics/Telecommunication,,(830 Reviews),Chennai,deep learningAutomationData analysisMachine learningRegression analysisMATLABAnalyticsSix sigma,https://www.naukri.com/job-listings-lead-data-scientist-caterpillar-india-private-ltd-chennai-6-to-10-years-300622501330,https://www.ambitionbox.com/reviews/caterpillar-inc-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri
Pfizer,"Senior Manager, Senior Lead Data Scientist (R CoE)","['RoleData Scientist', 'Industry TypeEngineering & Construction', 'Functional AreaData Science & Analytics', 'Employment TypeFull Time', ' PermanentRole CategoryData Science & Machine Learning']",10-15 Yrs ,Not disclosed,,UG :Any GraduatePG :Any Postgraduate,,(4807 Reviews),Chennai,Computer scienceNetworkingMachine learningJavascriptAgileWorkflowHTMLOpen source,https://www.naukri.com/job-listings-senior-manager-senior-lead-data-scientist-r-coe-pfizer-limited-chennai-10-to-15-years-280622501887,https://www.ambitionbox.com/reviews/pfizer-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri
Pfizer,Data Scientist - Hybrid Modeling & Process control,"['RoleData Scientist', 'Industry TypeEngineering & Construction', 'Functional AreaData Science & Analytics', 'Employment TypeFull Time', ' PermanentRole CategoryData Science & Machine Learning']",3-6 Yrs ,Not disclosed,Avg. Salary - ₹13.9 Lakhs,UG :Any GraduatePG :M.Tech in Electronics/Telecommunication,,(4807 Reviews),Chennai,Computer scienceAnalyticalPharmaProcess controlArtificial IntelligenceMachine learningSchedulingSensors,https://www.naukri.com/job-listings-data-scientist-hybrid-modeling-process-control-pfizer-limited-chennai-3-to-6-years-231121500387,https://www.ambitionbox.com/reviews/pfizer-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri
IBM,Data Scientist: Advanced Analytics,,3-7 Yrs ,Not disclosed,,,,(20577 Reviews),Gurgaon/Gurugram,Service levelClaimsExpense managementFixed assetsAgileIT SkillsData ScienceMachine Learning,https://www.naukri.com/job-listings-data-scientist-advanced-analytics-ibm-india-pvt-limited-gurgaon-gurugram-3-to-7-years-060722903005,https://www.ambitionbox.com/reviews/ibm-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri
Ofb Tech,Data Science Engineer - Gurgaon - Hybrid,"['RoleData Scientist', 'Industry TypeFinTech / Payments', 'Functional AreaData Science & Analytics', 'Employment TypeFull Time', ' PermanentRole CategoryData Science & Machine Learning']",2-6 Yrs ,Not disclosed,,UG :B.Tech/B.E. in Any Specialization,,(91 Reviews),Gurgaon/Gurugram,algorithmsdata science engineerpythonLightgbmdata miningsklearnmachine learningdeep learning,https://www.naukri.com/job-listings-data-science-engineer-gurgaon-hybrid-ofb-tech-pvt-ltd-gurgaon-gurugram-2-to-6-years-040722601824,https://www.ambitionbox.com/reviews/ofbusiness-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri
Optum,Associate Manager - Data Scientist,"['RoleData Scientist', 'Industry TypeIT Services & Consulting', 'Functional AreaData Science & Analytics', 'Employment TypeFull Time', ' PermanentRole CategoryData Science & Machine Learning']",8-13 Yrs ,Not disclosed,Avg. Salary - ₹23.9 Lakhs,UG :Any GraduatePG :Any Postgraduate,,(1959 Reviews),Noida,Azure Data FactoryIT SkillsPythonTestingDevOps.NetPower BIAzure,https://www.naukri.com/job-listings-associate-manager-data-scientist-optum-global-solutions-india-private-limited-noida-8-to-13-years-030822909778,https://www.ambitionbox.com/reviews/optum-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri
Boston Consulting Group,DigitalBCG | GAMMA Data Scientist,"['RoleData Scientist', 'Industry TypeManagement Consulting', 'Functional AreaData Science & Analytics', 'Employment TypeFull Time', ' PermanentRole CategoryData Science & Machine Learning']",2-5 Yrs ,Not disclosed,Avg. Salary - ₹19.3 Lakhs,UG :Any GraduatePG :Any Postgraduate,,(119 Reviews),New Delhi,Supply chainComputer scienceadvanced analyticsArtificial IntelligenceNetwork analysisMachine learningManagement consultingPredictive modeling,https://www.naukri.com/job-listings-digitalbcg-gamma-data-scientist-boston-consulting-group-new-delhi-2-to-5-years-010722500596,https://www.ambitionbox.com/reviews/bcg-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri
Gramener,Senior Data Scientist - NLP,"['RoleData Scientist', 'Industry TypeIT Services & Consulting', 'Functional AreaData Science & Analytics', 'Employment TypeFull Time', ' PermanentRole CategoryData Science & Machine Learning']",4-7 Yrs ,Not disclosed,Avg. Salary - ₹14.9 Lakhs,UG :Any GraduatePG :Any PostgraduateDoctorate :Any Doctorate,,(24 Reviews),"Hyderabad/Secunderabad, Bangalore/Bengaluru",Data ScienceNLPText AnalyticsIT SkillsJavaPythonMachine LearningArtificial Intelligence,https://www.naukri.com/job-listings-senior-data-scientist-nlp-gramener-technology-solutions-private-limited-hyderabad-secunderabad-bangalore-bengaluru-4-to-7-years-220822004614,https://www.ambitionbox.com/reviews/gramener-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri
Allegis Services India Pvt. Ltd.      ,Opening For SAS Data Scientist_Senior (MNC_Big4),"['RoleData Scientist', 'Industry TypeAnalytics / KPO / Research', 'Functional AreaData Science & Analytics', 'Employment TypeFull Time', ' PermanentRole CategoryData Science & Machine Learning']",5-9 Yrs ,Not disclosed,,"UG :B.Tech/B.E. in Any Specialization, B.A in StatisticsPG :M.Tech in Any Specialization, MCA in Any Specialization",,,"Kolkata, Hyderabad/Secunderabad, Bangalore/Bengaluru",SASRSPSSSAS scriptingPython,https://www.naukri.com/job-listings-opening-for-sas-data-scientist-senior-mnc-big4-allegis-services-india-pvt-ltd-kolkata-hyderabad-secunderabad-bangalore-bengaluru-5-to-9-years-050722600009,
Allegis Services India Pvt. Ltd.      ,Opening For SAS Data Scientist_Senior (MNC_Big4),,5-9 Yrs ,Not disclosed,,,,,"Kolkata, Hyderabad/Secunderabad, Bangalore/Bengaluru",SASRSPSSSAS scriptingPython,https://www.naukri.com/job-listings-opening-for-sas-data-scientist-senior-mnc-big4-allegis-services-india-pvt-ltd-kolkata-hyderabad-secunderabad-bangalore-bengaluru-5-to-9-years-050722000007,
Wolters Kluwer,Data Scientist,"['RoleData Scientist', 'Industry TypeFinancial Services', 'Functional AreaData Science & Analytics', 'Employment TypeFull Time', ' PermanentRole CategoryData Science & Machine Learning']",4-8 Yrs ,Not disclosed,Avg. Salary - ₹12.5 Lakhs,UG :Any GraduatePG :Any Postgraduate,,(209 Reviews),"Mumbai, Pune",Computer scienceText miningOperations researchdata scienceNeural networksAnalyticalMachine learningData collection,https://www.naukri.com/job-listings-data-scientist-wolters-kluwer-financial-services-mumbai-pune-4-to-8-years-290622500518,https://www.ambitionbox.com/reviews/wolters-kluwer-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri
Talent et au-dela,LEAD SOLUTIONS ARCHITECT (CLOUD ANALYTICS),"['RoleData Scientist', 'Industry TypeRecruitment / Staffing', 'Functional AreaData Science & Analytics', 'Employment TypeFull Time', ' PermanentRole CategoryData Science & Machine Learning']",12-14 Yrs ,Not disclosed,,UG :Any GraduatePG :Any Postgraduate,,,"Mumbai, Pune",IT servicesdata cleansingData analysisdata scienceData modelingAnalyticalMachine learningData mining,https://www.naukri.com/job-listings-lead-solutions-architect-cloud-analytics-talent-et-au-dela-mumbai-pune-12-to-14-years-180722500929,
AMSYS IT Services,Data Science Engineer - Algorithm/Data Pipeline,"['RoleData Scientist', 'Industry TypeIT Services & Consulting', 'Functional AreaData Science & Analytics', 'Employment TypeFull Time', ' PermanentRole CategoryData Science & Machine Learning']",5-10 Yrs ,Not disclosed,,"UG :BCA in Any Specialization, B.Sc in Any Specialization, B.Tech/B.E. in Any SpecializationPG :Any PostgraduateDoctorate :Doctorate Not Required",,,"Kolkata, Mumbai, Hyderabad/Secunderabad, Pune, Chennai, Ahmedabad, Bangalore/Bengaluru, Delhi / NCR",Data Sciencedata analysisanalyticalIT SkillsData QualityData PipelineData ScientistData Management,https://www.naukri.com/job-listings-data-science-engineer-algorithm-data-pipeline-amsys-it-services-kolkata-mumbai-hyderabad-secunderabad-pune-chennai-ahmedabad-bangalore-bengaluru-delhi-ncr-5-to-10-years-300722905885,
Primo Hiring,Data Scientist - Engine Algorithm,"['RoleData Scientist', 'Industry TypeIT Services & Consulting', 'Functional AreaData Science & Analytics', 'Employment TypeFull Time', ' PermanentRole CategoryData Science & Machine Learning']",1-3 Yrs ,Not disclosed,,"UG :B.Tech/B.E. in Computers, B.A in Economics, Statistics, B.Sc in Statistics, Computers, BCA in ComputersPG :MCA in Computers, MBA/PGDM in Operations, M.A in Economics, Statistics, MS/M.Sc(Science) in Statistics, Computers, M.Tech in Computers, MCM in Computers and ManagementDoctorate :Ph.D/Doctorate in Statistics, Computers, Economics",,,"Kolkata, Mumbai, Visakhapatnam, Hyderabad/Secunderabad, Pune, Chennai, Ahmedabad, Delhi / NCR, Bangalore/Bengaluru",Pythondata analysisSparkstatistical analysisRSQLHiveIT Skills,https://www.naukri.com/job-listings-data-scientist-engine-algorithm-primo-hiring-kolkata-mumbai-visakhapatnam-vizag-hyderabad-secunderabad-pune-chennai-ahmedabad-delhi-ncr-bangalore-bengaluru-1-to-3-years-300722900011,
Primo Hiring,Data Scientist - Engine Algorithm,"['RoleData Scientist', 'Industry TypeIT Services & Consulting', 'Functional AreaData Science & Analytics', 'Employment TypeFull Time', ' PermanentRole CategoryData Science & Machine Learning']",1-3 Yrs ,Not disclosed,,"UG :B.Tech/B.E. in ComputersPG :MS/M.Sc(Science) in Statistics, Computers, MCA in Computers, M.A in Economics, Statistics, M.Tech in Computers, MCM in Computers and ManagementDoctorate :Ph.D/Doctorate in Statistics, Computers, Economics",,,"Kolkata, Mumbai, Hyderabad/Secunderabad, Pune, Chennai, Ahmedabad, Bangalore/Bengaluru, Delhi / NCR",Engine Algorithmdata analysisRHivestatistical analysisSQLPythonSpark,https://www.naukri.com/job-listings-data-scientist-engine-algorithm-primo-hiring-kolkata-mumbai-hyderabad-secunderabad-pune-chennai-ahmedabad-bangalore-bengaluru-delhi-ncr-1-to-3-years-280722909939,
Corner Tree Consulting,Data Scientist - Machine Learning,"['RoleData Scientist', 'Industry TypeIT Services & Consulting', 'Functional AreaData Science & Analytics', 'Employment TypeFull Time', ' PermanentRole CategoryData Science & Machine Learning']",6-10 Yrs ,Not disclosed,,"UG :B.Sc in Computers, BCA in Computers, B.Tech/B.E. in ComputersPG :MS/M.Sc(Science) in Computers, MCA in Computers, M.Tech in ComputersDoctorate :Doctorate Not Required",,,"Kolkata, Mumbai, Hyderabad/Secunderabad, Pune, Chennai, Ahmedabad, Delhi / NCR, Bangalore/Bengaluru",Data ScientistTime Series AnalysisData ManagementCICDAzure IoTData AnalyticsMachine learningDevOps,https://www.naukri.com/job-listings-data-scientist-machine-learning-corner-tree-consulting-kolkata-mumbai-hyderabad-secunderabad-pune-chennai-ahmedabad-delhi-ncr-bangalore-bengaluru-6-to-10-years-080822907588,
Corner Tree Consulting,Data Scientist - Python/Machine Learning,"['RoleData Scientist', 'Industry TypeIT Services & Consulting', 'Functional AreaData Science & Analytics', 'Employment TypeFull Time', ' PermanentRole CategoryData Science & Machine Learning']",10-14 Yrs ,Not disclosed,,UG :Any GraduatePG :Any PostgraduateDoctorate :Doctorate Not Required,,,"Mumbai, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru, Delhi / NCR",PythonDevOpsData AnalyticsCICDStatistical AnalysisNet CoreAzure IoTR,https://www.naukri.com/job-listings-data-scientist-python-machine-learning-corner-tree-consulting-mumbai-hyderabad-secunderabad-pune-chennai-bangalore-bengaluru-delhi-ncr-10-to-14-years-080822907405,
Primo Hiring,Data Scientist - Engine Algorithm,"['RoleData Scientist', 'Industry TypeIT Services & Consulting', 'Functional AreaData Science & Analytics', 'Employment TypeFull Time', ' PermanentRole CategoryData Science & Machine Learning']",1-3 Yrs ,Not disclosed,,UG :Any GraduatePG :Any PostgraduateDoctorate :Doctorate Not Required,,,"Mumbai, Hyderabad/Secunderabad, Pune, Ahmedabad, Chennai, Bangalore/Bengaluru, Delhi / NCR",Data Visualizationdata analysisSparkPythonstatistical analysisRSQLHive,https://www.naukri.com/job-listings-data-scientist-engine-algorithm-primo-hiring-mumbai-hyderabad-secunderabad-pune-ahmedabad-chennai-bangalore-bengaluru-delhi-ncr-1-to-3-years-050822907254,
Corner Tree Consulting,Data Scientist - Python/Machine Learning,"['RoleData Scientist', 'Industry TypeIT Services & Consulting', 'Functional AreaData Science & Analytics', 'Employment TypeFull Time', ' PermanentRole CategoryData Science & Machine Learning']",10-14 Yrs ,Not disclosed,,"UG :B.Tech/B.E. in Computers, BCA in ComputersPG :MS/M.Sc(Science) in Computers, M.Tech in Computers, MCA in ComputersDoctorate :Doctorate Not Required",,,"Kolkata, Mumbai, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",C#Deep LearningSQLPythonNet CoreData AnalyticsMachine learningAzure IoT,https://www.naukri.com/job-listings-data-scientist-python-machine-learning-corner-tree-consulting-kolkata-mumbai-hyderabad-secunderabad-pune-chennai-bangalore-bengaluru-10-to-14-years-300622910562,
TRH Consultancy Services,Data Scientist,"['RoleData Scientist', 'Industry TypeIT Services & Consulting', 'Functional AreaData Science & Analytics', 'Employment TypeFull Time', ' PermanentRole CategoryData Science & Machine Learning']",5-10 Yrs ,Not disclosed,,UG :Any GraduatePG :Any PostgraduateDoctorate :Doctorate Not Required,,,"Kolkata, Mumbai, Nagpur, Hyderabad/Secunderabad, Pune, Chennai, Coimbatore, Bangalore/Bengaluru, Delhi / NCR",RPythonMLPyTorchGraph DBSpaCyScrapyNTLK,https://www.naukri.com/job-listings-data-scientist-trh-consultancy-services-kolkata-mumbai-nagpur-hyderabad-secunderabad-pune-chennai-coimbatore-bangalore-bengaluru-delhi-ncr-5-to-10-years-280622911785,
TRH Consultancy Services,Data Scientist with Retail Domain,"['RoleData Scientist', 'Industry TypeIT Services & Consulting', 'Functional AreaData Science & Analytics', 'Employment TypeFull Time', ' PermanentRole CategoryData Science & Machine Learning']",4-9 Yrs ,Not disclosed,,UG :Any GraduatePG :Any PostgraduateDoctorate :Doctorate Not Required,,,"Kolkata, Mumbai, Nagpur, Hyderabad/Secunderabad, Pune, Chennai, Coimbatore, Bangalore/Bengaluru, Delhi / NCR",PandasData AnalyticsPythonSkiAzureNumpyPowerPointGIT,https://www.naukri.com/job-listings-data-scientist-with-retail-domain-trh-consultancy-services-kolkata-mumbai-nagpur-hyderabad-secunderabad-pune-chennai-coimbatore-bangalore-bengaluru-delhi-ncr-4-to-9-years-280622911710,
TRH Consultancy Services,Data Scientist,"['RoleData Scientist', 'Industry TypeIT Services & Consulting', 'Functional AreaData Science & Analytics', 'Employment TypeFull Time', ' PermanentRole CategoryData Science & Machine Learning']",5-10 Yrs ,Not disclosed,,UG :Any GraduatePG :Any PostgraduateDoctorate :Doctorate Not Required,,,"Kolkata, Mumbai, Nagpur, Hyderabad/Secunderabad, Pune, Chennai, Coimbatore, Bangalore/Bengaluru, Delhi / NCR",Rstatistical programmingPythonNTLKTextBlobMachine LearningGraph DBBeautifulSoup,https://www.naukri.com/job-listings-data-scientist-trh-consultancy-services-kolkata-mumbai-nagpur-hyderabad-secunderabad-pune-chennai-coimbatore-bangalore-bengaluru-delhi-ncr-5-to-10-years-280622911391,
TRH Consultancy Services,Data Scientist,"['RoleData Scientist', 'Industry TypeIT Services & Consulting', 'Functional AreaData Science & Analytics', 'Employment TypeFull Time', ' PermanentRole CategoryData Science & Machine Learning']",5-10 Yrs ,Not disclosed,,"UG :B.Tech/B.E. in Any Specialization, B.Sc in Any SpecializationPG :M.Tech in Any Specialization, MCA in Any Specialization, MS/M.Sc(Science) in Any Specialization, MBA/PGDM in Any SpecializationDoctorate :Doctorate Not Required",,,"Noida, Kolkata, Mumbai, Hyderabad/Secunderabad, Pune, Chennai, Coimbatore, Bangalore/Bengaluru, Delhi",PythonTensorFlowSQL serverspacyPyTorchTeradataSQLverbal,https://www.naukri.com/job-listings-data-scientist-trh-consultancy-services-noida-kolkata-mumbai-hyderabad-secunderabad-pune-chennai-coimbatore-bangalore-bengaluru-delhi-5-to-10-years-200722900301,
TalPro,Data Scientist - NLP/Python/Spark,"['RoleData Scientist', 'Industry TypeIT Services & Consulting', 'Functional AreaData Science & Analytics', 'Employment TypeFull Time', ' PermanentRole CategoryData Science & Machine Learning']",3-8 Yrs ,Not disclosed,,UG :Any GraduatePG :Any PostgraduateDoctorate :Doctorate Not Required,,,"Kolkata, Mumbai, Hyderabad/Secunderabad, Pune, Gurgaon/Gurugram, Chennai, Bangalore/Bengaluru",NLPSparkPythonlearningTableaudata miningSentiment Analysispredictive analytics,https://www.naukri.com/job-listings-data-scientist-nlp-python-spark-talpro-kolkata-mumbai-hyderabad-secunderabad-pune-gurgaon-gurugram-chennai-bangalore-bengaluru-3-to-8-years-140722907204,
AVE-Promagne Business Solutions,Sr. Data Scientist - Python / ML / DL,"['RoleData Scientist', 'Industry TypeIT Services & Consulting', 'Functional AreaData Science & Analytics', 'Employment TypeFull Time', ' PermanentRole CategoryData Science & Machine Learning']",5-8 Yrs ,Not disclosed,,UG :Any GraduatePG :Any PostgraduateDoctorate :Doctorate Not Required,,,"Noida, Mumbai, Chandigarh, Hyderabad/Secunderabad, Pune, Chennai, Gurgaon/Gurugram, Coimbatore, Bangalore/Bengaluru",Pythonpandasdeep learningSciPyPyTorchdata miningcomputer visionKeras,https://www.naukri.com/job-listings-sr-data-scientist-python-ml-dl-ave-promagne-business-solutions-noida-mumbai-chandigarh-hyderabad-secunderabad-pune-chennai-gurgaon-gurugram-coimbatore-bangalore-bengaluru-5-to-8-years-030822907237,
